Year,Argentina,Australia,Bangladesh,Brazil,Canada,Chile,China,Estonia,Finland,France,Germany,Ghana,Greece,India,Italy,Japan,Mexico,Namibia,Norway,Poland,Russian Federation,Spain,Sweden,Switzerland,Turkey,Ukraine,United Kingdom,United States,Vietnam
1960-01-01,65.22,70.82,45.83,54.21,71.13,57.46,43.35,67.91,68.82,69.87,69.31,45.83,68.16,41.17,69.12,67.67,57.07,46.88,73.55,67.68,66.06,69.11,73.01,71.31,45.38,68.3,71.13,69.77,59.07
1961-01-01,65.34,70.97,46.46,54.72,71.35,57.99,43.67,68.36,68.84,70.12,69.51,46.27,68.55,41.79,69.76,68.31,57.66,47.5,73.55,67.78,66.6,69.48,73.47,71.64,46.1,68.76,70.88,70.27,59.74
1962-01-01,65.43,70.94,47.08,55.24,71.37,58.52,44.4,68.74,68.58,70.31,69.69,46.68,68.89,42.42,69.15,68.59,58.18,48.1,73.45,67.43,67.02,69.52,73.35,71.2,46.84,69.15,70.93,70.12,60.41
1963-01-01,65.51,70.91,47.69,55.75,71.38,59.05,45.58,69.05,69.01,70.51,69.86,47.08,69.19,43.05,69.25,69.66,58.64,48.69,73.08,68.38,67.34,69.68,73.56,71.19,47.57,69.46,70.83,69.92,61.04
1964-01-01,65.58,70.88,48.26,56.26,71.78,59.58,47.19,69.31,69.22,70.66,70.01,47.45,69.43,43.7,70.31,70.13,59.06,49.26,73.6,68.63,67.57,70.4,73.73,72.08,48.31,69.71,71.62,70.17,61.61
1965-01-01,65.67,70.85,48.69,56.77,71.87,60.11,49.14,69.52,68.98,70.81,70.15,47.81,69.64,44.35,70.17,70.2,59.43,49.82,73.72,69.43,67.72,70.81,73.86,72.2,49.02,69.91,71.62,70.21,62
1966-01-01,65.78,70.82,48.9,57.27,72,60.64,51.28,69.68,69.48,70.96,70.27,48.14,69.84,45.02,70.93,70.99,59.79,50.36,74,69.83,67.81,71.06,74.08,72.34,49.72,70.06,71.57,70.21,62.09
1967-01-01,65.93,70.87,48.84,57.76,72.21,61.18,53.43,69.8,69.67,71.16,70.37,48.46,70.05,45.69,70.96,71.28,60.15,50.91,74.07,69.42,67.86,71.25,74.12,72.64,50.38,70.16,72.12,70.56,61.84
1968-01-01,66.11,70.92,48.54,58.24,72.35,61.71,55.43,69.88,69.62,71.31,70.47,48.76,70.3,46.37,70.78,71.61,60.52,51.45,73.94,70.22,67.87,71.54,73.97,72.59,51.03,70.22,71.72,69.95,61.29
1969-01-01,66.34,70.97,48.05,58.71,72.5,62.24,57.19,69.93,69.5,71.46,70.55,49.05,70.59,47.05,70.81,71.84,60.92,51.99,73.66,69.72,67.87,71.06,74.08,72.61,51.65,70.25,71.72,70.51,60.53
1970-01-01,66.59,71.02,47.53,59.15,72.7,62.77,58.68,69.94,70.18,71.66,70.64,49.33,70.9,47.73,71.56,71.95,61.35,52.53,74.09,69.87,68.13,72.03,74.65,73.02,52.26,70.24,71.97,70.81,59.74
1971-01-01,66.87,71.07,47.14,59.56,73.03,63.3,59.91,69.91,70.02,71.91,70.74,49.62,71.23,48.41,71.81,72.88,61.82,53.07,74.18,69.61,68.38,71.63,74.62,73.13,52.87,70.18,72.27,71.11,59.17
1972-01-01,67.17,71.46,47.03,59.92,72.93,63.82,60.96,69.83,70.71,72.11,70.87,49.91,71.53,49.09,72.08,73.51,62.32,53.6,74.34,70.67,68.31,72.82,74.72,73.64,53.48,70.09,72.12,71.16,59.02
1973-01-01,67.47,71.85,47.3,60.25,73.16,64.35,61.91,69.73,71.22,72.36,71.02,50.21,71.81,49.76,72.03,73.76,62.84,54.14,74.44,70.66,68.29,72.61,74.87,73.94,54.1,69.96,72.32,71.36,59.38
1974-01-01,67.76,72.24,47.93,60.54,73.24,64.87,62.77,69.59,71.13,72.6,71.2,50.51,72.06,50.42,72.73,74.39,63.37,54.66,74.75,71.12,68.32,72.97,74.98,74.29,54.73,69.81,72.52,71.96,60.25
1975-01-01,68.05,72.63,48.87,60.8,73.52,65.39,63.56,69.44,71.67,72.85,71.4,50.81,72.29,51.07,72.65,75.06,63.92,55.19,74.82,70.56,67.72,73.32,74.98,74.67,55.39,69.63,72.72,72.6,61.54
1976-01-01,68.34,73.01,49.99,61.04,73.86,65.91,64.28,69.29,71.81,73.1,71.63,51.12,72.52,51.69,72.99,75.46,64.47,55.7,75.04,70.66,67.49,73.64,74.97,74.79,56.05,69.45,72.78,72.86,63.04
1977-01-01,68.63,73.34,51.11,61.27,74.22,66.42,64.94,69.15,72.35,73.35,71.88,51.41,72.76,52.28,73.36,75.9,65.01,56.21,75.39,70.4,67.38,74.13,75.38,75.24,56.72,69.25,73.22,73.26,64.53
1978-01-01,68.93,73.67,52.09,61.51,74.53,66.93,65.52,69.03,72.9,73.6,72.14,51.7,73.03,52.85,73.69,76.04,65.55,56.72,75.42,70.35,67.39,74.3,75.47,75.19,57.38,69.07,73.18,73.36,65.8
1979-01-01,69.22,74,52.89,61.75,74.87,67.43,66.05,68.95,73.16,73.85,72.41,51.98,73.33,53.38,74,76.34,66.06,57.2,75.41,70.75,67.11,74.82,75.52,75.47,58.04,68.92,73.28,73.8,66.77
1980-01-01,69.51,74.33,53.49,62.02,75.08,67.93,66.52,68.91,73.44,74.05,72.68,52.27,73.65,53.87,73.94,76.09,66.56,57.68,75.67,70.1,67.03,75.35,75.74,75.46,58.69,68.82,73.68,73.61,67.43
1981-01-01,69.79,74.66,53.93,62.3,75.48,68.43,66.94,68.98,73.75,74.3,72.95,52.58,73.97,54.33,74.35,76.41,67.04,58.15,75.87,71.05,67.26,75.53,76.03,75.69,59.33,68.81,74.03,74.01,67.83
1982-01-01,70.04,74.9,54.3,62.6,75.68,68.92,67.31,69.13,74.3,74.5,73.23,52.91,74.28,54.74,74.81,76.92,67.5,58.6,76.01,71.1,67.81,76.13,76.33,76.03,59.95,68.9,74.18,74.36,68.09
1983-01-01,70.26,75.15,54.69,62.91,76.04,69.41,67.63,69.38,74.2,74.8,73.51,53.27,74.56,55.13,74.64,76.96,67.94,59.04,76.07,71,67.65,75.91,76.55,76.03,60.55,69.08,74.38,74.46,68.33
1984-01-01,70.45,75.39,55.11,63.23,76.32,69.89,67.91,69.28,74.52,75,73.79,53.67,74.83,55.5,75.39,77.37,68.37,59.45,76.22,70.8,67.2,76.3,76.82,76.61,61.14,69.32,74.78,74.56,68.58
1985-01-01,70.63,75.63,55.59,63.56,76.3,70.37,68.16,69.38,74.22,75.3,74.06,54.11,75.08,55.86,75.47,77.65,68.79,59.84,75.92,70.55,67.86,76.26,76.67,76.73,61.71,69.57,74.63,74.56,68.87
1986-01-01,70.8,75.87,56.12,63.9,76.44,70.84,68.37,70.09,74.56,75.6,74.32,54.6,75.33,56.23,75.77,78.06,69.2,60.2,76.24,70.85,69.39,76.51,76.93,76.9,62.26,69.79,74.93,74.61,69.19
1987-01-01,70.97,76.15,56.67,64.25,76.74,71.31,68.56,70.64,74.59,75.8,74.56,55.14,75.6,56.62,76.22,78.48,69.61,60.54,76.08,70.9,69.44,76.73,77.09,77.2,62.79,70.5,75.28,74.77,69.51
1988-01-01,71.15,76.43,57.23,64.6,76.81,71.77,68.73,70.7,74.58,76.1,74.78,55.69,75.9,57.03,76.37,78.4,70.01,60.84,76.22,71.33,69.46,76.75,76.98,77.23,63.29,70.5,75.38,74.77,69.82
1989-01-01,71.34,76.71,57.82,64.96,77.07,72.23,68.88,70.04,74.79,76.35,74.98,56.25,76.69,57.47,76.82,78.82,70.4,61.07,76.5,71.04,69.17,76.81,77.73,77.42,63.79,70.54,75.58,75.02,70.12
1990-01-01,71.54,76.99,58.42,65.34,77.38,72.68,69.03,69.48,74.81,76.6,75.18,56.75,76.94,57.94,76.97,78.84,70.8,61.22,76.54,70.89,68.89,76.84,77.54,77.24,64.28,70.14,75.88,75.21,70.42
1991-01-01,71.76,77.28,59.05,65.74,77.55,73.12,69.18,69.37,75.23,76.85,75.32,57.16,77.14,58.44,77.02,79.1,71.19,61.27,76.98,70.59,68.47,76.97,77.67,77.51,64.78,68.88,76.08,75.37,70.71
1992-01-01,71.99,77.38,59.72,66.17,77.32,73.56,69.34,68.86,75.46,77.1,75.82,57.44,77.38,58.95,77.42,79.15,71.59,61.19,77.18,71.09,66.87,77.41,78,77.81,65.3,69.07,76.43,75.62,71
1993-01-01,72.22,77.88,60.42,66.63,77.69,73.99,69.51,67.91,75.71,77.3,75.87,57.58,77.39,59.45,77.72,79.29,71.98,60.98,77.15,71.6,64.94,77.55,78.06,78.09,65.84,68.48,76.39,75.42,71.28
1994-01-01,72.44,77.88,61.15,67.11,77.86,74.41,69.7,66.5,76.4,77.65,76.27,57.59,77.64,59.95,77.92,79.69,72.36,60.63,77.69,71.7,64.47,77.9,78.65,78.35,66.4,67.84,76.89,75.62,71.57
1995-01-01,72.67,77.83,61.89,67.6,77.98,74.83,69.93,67.54,76.41,77.75,76.42,57.5,77.59,60.44,78.17,79.54,72.74,60.09,77.74,71.89,64.69,77.98,78.74,78.42,66.98,67.14,76.84,75.62,71.85
1996-01-01,72.89,78.08,62.63,68.11,78.23,75.24,70.2,69.61,76.69,77.95,76.67,57.34,77.69,60.92,78.52,80.2,73.1,59.34,78.15,72.25,65.85,78.12,78.96,78.9,67.59,66.89,77.09,76.03,72.13
1997-01-01,73.11,78.48,63.36,68.62,78.48,75.65,70.52,69.81,76.88,78.3,77.07,57.16,78.14,61.37,78.82,80.42,73.44,58.37,78.14,72.65,66.7,78.6,79.2,79.08,68.2,67.3,77.21,76.43,72.4
1998-01-01,73.33,78.63,64.06,69.11,78.66,76.04,70.89,69.36,77.09,78.6,77.48,57.02,77.84,61.81,78.98,80.5,73.75,57.28,78.33,73,67.03,78.67,79.34,79.32,68.81,67.99,77.19,76.58,72.66
1999-01-01,73.54,78.93,64.72,69.59,78.88,76.44,71.3,70.06,77.29,78.76,77.73,56.95,77.99,62.23,79.42,80.57,74.04,56.14,78.28,73.04,65.98,78.72,79.44,79.58,69.42,68.21,77.39,76.58,72.91
2000-01-01,73.76,79.23,65.35,70.04,79.24,76.82,71.73,70.42,77.47,79.06,77.93,56.99,77.89,62.63,79.78,81.08,74.3,55.12,78.63,73.75,65.48,78.97,79.64,79.68,70,67.86,77.74,76.64,73.15
2001-01-01,73.96,79.63,65.93,70.46,79.49,77.2,72.18,70.26,77.97,79.16,78.33,57.15,78.39,63.02,80.13,81.42,74.53,54.4,78.79,74.2,65.38,79.37,79.8,80.18,70.56,68.29,77.99,76.84,73.37
2002-01-01,74.16,79.94,66.48,70.85,79.59,77.57,72.61,70.9,78.12,79.26,78.23,57.42,78.64,63.4,80.23,81.56,74.74,54.11,78.99,74.5,65.13,79.57,79.85,80.39,71.08,68.28,78.14,76.94,73.58
2003-01-01,74.34,80.24,67,71.2,79.84,77.93,73.03,71.32,78.37,79.11,78.38,57.79,78.84,63.77,79.98,81.76,74.94,54.28,79.39,74.6,65.05,79.62,80.1,80.54,71.57,68.21,78.45,77.04,73.77
2004-01-01,74.52,80.49,67.5,71.53,80.14,78.29,73.42,71.91,78.71,80.16,78.68,58.22,79.04,64.15,80.78,82.03,75.12,54.92,79.84,74.85,65.47,79.87,80.5,81.09,72.03,68.19,78.75,77.49,73.96
2005-01-01,74.69,80.84,67.97,71.84,80.29,78.64,73.77,72.57,78.82,80.16,78.93,58.7,79.24,64.52,80.78,81.93,75.28,55.98,80.04,75,65.53,80.17,80.55,81.24,72.45,67.96,79.05,77.49,74.14
2006-01-01,74.85,81.04,68.43,72.13,80.29,78.98,74.07,72.69,79.21,80.81,79.13,59.18,79.44,64.91,81.28,82.32,75.44,57.32,80.34,75.14,66.73,80.82,80.75,81.49,72.83,68.08,79.25,77.69,74.31
2007-01-01,75.01,81.29,68.86,72.41,80.54,79.31,74.34,72.81,79.26,81.11,79.53,59.64,79.44,65.3,81.43,82.51,75.59,58.78,80.4,75.24,67.59,80.87,80.9,81.74,73.18,68.22,79.45,77.99,74.48
2008-01-01,75.17,81.4,69.28,72.7,80.7,79.64,74.58,73.77,79.57,81.21,79.74,60.03,79.94,65.7,81.49,82.59,75.73,60.18,80.59,75.54,67.95,81.18,81.1,81.99,73.5,68.25,79.6,78.04,74.65
2009-01-01,75.32,81.54,69.68,72.98,80.95,79.96,74.8,74.82,79.72,81.41,79.84,60.36,80.19,66.1,81.64,82.93,75.88,61.44,80.8,75.7,68.68,81.48,81.35,82.04,73.8,69.19,80.05,78.39,74.82
2010-01-01,75.48,81.7,70.08,73.26,81.2,80.28,75.01,75.43,79.87,81.66,79.99,60.61,80.39,66.51,82.04,82.84,76.03,62.48,81,76.25,68.84,81.63,81.45,82.25,74.09,70.27,80.4,78.54,74.99
2011-01-01,75.65,81.9,70.47,73.55,81.45,80.59,75.2,76.23,80.47,82.11,80.44,60.81,80.73,66.9,82.19,82.59,76.19,63.28,81.3,76.7,69.68,82.48,81.8,82.7,74.37,70.81,80.95,78.64,75.16
2012-01-01,75.82,82.05,70.86,73.84,81.56,80.89,75.39,76.33,80.63,81.97,80.54,60.98,80.63,67.29,82.24,83.1,76.35,63.88,81.45,76.75,70.07,82.43,81.7,82.7,74.64,70.94,80.9,78.74,75.32
2013-01-01,75.99,82.15,71.25,74.12,81.77,81.2,75.59,77.14,80.98,82.22,80.49,61.14,81.29,67.66,82.69,83.33,76.53,64.34,81.75,77,70.58,83.08,81.96,82.8,74.9,71.16,81,78.74,75.48
2014-01-01,76.16,82.3,71.63,74.4,81.96,81.5,75.78,77.03,81.18,82.67,81.09,61.31,81.44,68.01,83.09,83.59,76.72,64.68,82.1,77.6,70.74,83.23,82.25,83.2,75.16,71.19,81.3,78.74,75.63
2015-01-01,76.33,82.45,72,74.68,82.14,81.79,75.99,77.13,81.39,82.67,81.09,61.49,81.59,68.35,83.49,83.84,76.92,64.92,82.1,78.2,70.91,83.38,82.55,83.2,75.43,71.19,81.6,78.74,75.78
